Ranking,Company,Market Cap (USD),Stock,Country,Sector,Industry
487,Compagnie de Saint-Gobain SA,$36.35 B,"SGO
                                        

wb_incandescent",France,Industrials,Building Products & Equipment
488,"Interactive Brokers Group, Inc.",$36.34 B,"IBKR
                                        

wb_incandescent",United States,Financials,Capital Markets
489,"Yum! Brands, Inc.",$36.19 B,"YUM
                                        

wb_incandescent",United States,Consumer Discretionary,Restaurants
490,United Overseas Bank Ltd,$36.10 B,"U11
                                        

wb_incandescent",Singapore,Financials,Banks—Regional
491,Exelon Corporation,$36.01 B,"EXC
                                        

wb_incandescent",United States,Utilities,Utilities—Diversified
492,"Fidelity National Information Services, Inc.",$35.89 B,"FIS
                                        

wb_incandescent",United States,Technology,Information Technology Services
493,Otis Worldwide Corporation,$35.88 B,"OTIS
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
494,African Rainbow Capital Investments Ltd,$35.60 B,"AIL
                                        

wb_incandescent",Mauritius,Financials,Asset Management
495,Fastenal Company,$35.55 B,"FAST
                                        

wb_incandescent",United States,Industrials,Industrial Distribution
496,Seven & i Holdings Co. Ltd,$35.52 B,"3382
                                        

wb_incandescent",Japan,Consumer Staples,Grocery Stores
497,Ares Management Corporation,$35.50 B,"ARES
                                        

wb_incandescent",United States,Financials,Asset Management
498,E.ON SE,$35.47 B,"EOAA
                                        

wb_incandescent",Germany,Utilities,Utilities—Diversified
499,Li Auto Inc.,$35.19 B,"LI
                                        

wb_incandescent",China,Consumer Discretionary,Auto Manufacturers
500,Xcel Energy Inc.,$35.17 B,"XEL
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
501,Palantir Technologies Inc.,$35.01 B,"PLTR
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
502,"Rockwell Automation, Inc.",$34.91 B,"ROK
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
503,GE HealthCare Technologies Inc.,$34.86 B,"GEHC
                                        

wb_incandescent",United States,Healthcare,Health Information Services
504,Capgemini SE,$34.74 B,"CAP
                                        

wb_incandescent",France,Technology,Information Technology Services
505,Extra Space Storage Inc.,$34.70 B,"EXR
                                        

wb_incandescent",United States,Real Estate,REIT—Industrial
506,SMC Corp,$34.55 B,"6273
                                        

wb_incandescent",Japan,Industrials,Specialty Industrial Machinery
507,"Verisk Analytics, Inc.",$34.50 B,"VRSK
                                        

wb_incandescent",United States,Industrials,Consulting Services
508,Banco Bradesco SA,$34.45 B,"BBDC3
                                        

wb_incandescent",Brazil,Financials,Banks—Regional
509,Baker Hughes Company,$34.34 B,"BKR
                                        

wb_incandescent",United States,Energy,Oil & Gas Equipment & Services
510,"PPG Industries, Inc.",$34.34 B,"PPG
                                        

wb_incandescent",United States,Basic Materials,Specialty Chemicals
511,Restaurant Brands International Inc.,$34.34 B,"QSR
                                        

wb_incandescent",Canada,Consumer Discretionary,Restaurants
512,China CITIC Bank Corp Ltd,$34.32 B,"601998
                                        

wb_incandescent",China,Financials,Banks—Regional
513,Alliance Data Systems Corporation,$34.27 B,"ADS
                                        

wb_incandescent",United States,Financials,Credit Services
514,ON Semiconductor Corporation,$34.18 B,"ON
                                        

wb_incandescent",United States,Technology,Semiconductors
515,"The Trade Desk, Inc.",$34.00 B,"TTD
                                        

wb_incandescent",United States,Technology,Software—Application
516,"Corteva, Inc.",$33.88 B,"CTVA
                                        

wb_incandescent",United States,Basic Materials,Agricultural Inputs
517,Wolters Kluwer N.V.,$33.87 B,"WKL
                                        

wb_incandescent",Netherlands,Communication Services,Publishing
518,Hapag-Lloyd AG,$33.84 B,"HLAG
                                        

wb_incandescent",Germany,Industrials,Marine Shipping
519,"CoStar Group, Inc.",$33.81 B,"CSGP
                                        

wb_incandescent",United States,Real Estate,Real Estate Services
520,"Beijing-Shanghai High-Speed Railway Co.,Ltd.",$33.78 B,"601816
                                        

wb_incandescent",China,Industrials,Railroads
521,Beiersdorf AG,$33.76 B,"BEI
                                        

wb_incandescent",Germany,Consumer Staples,Household & Personal Products
522,Cummins Inc.,$33.70 B,"CMI
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
523,"Gartner, Inc.",$33.61 B,"IT
                                        

wb_incandescent",United States,Technology,Information Technology Services
524,VICI Properties Inc.,$33.56 B,"VICI
                                        

wb_incandescent",United States,Real Estate,REIT—Diversified
525,Anglo American plc,$33.56 B,"AAL
                                        

wb_incandescent",United Kingdom,Basic Materials,Other Industrial Metals & Mining
526,Assicurazioni Generali,$33.52 B,"G
                                        

wb_incandescent",Italy,Financials,Insurance—Diversified
527,adidas AG,$33.52 B,"ADS1
                                        

wb_incandescent",Germany,Consumer Discretionary,Footwear & Accessories
528,Wanhua Chemical Group Co. Ltd,$33.44 B,"600309
                                        

wb_incandescent",China,Basic Materials,Chemicals
529,The Kroger Co.,$33.42 B,"KR
                                        

wb_incandescent",United States,Consumer Staples,Grocery Stores
530,RWE AG,$33.20 B,"RWE
                                        

wb_incandescent",Germany,Utilities,Utilities—Diversified
531,QNB Finansbank A.S.,$33.16 B,"QNBFB
                                        

wb_incandescent",Turkey,Financials,Banks—Regional
532,"DuPont de Nemours, Inc.",$33.12 B,"DD
                                        

wb_incandescent",United States,Basic Materials,Chemicals
533,Global Payments Inc.,$32.76 B,"GPN
                                        

wb_incandescent",United States,Industrials,Specialty Business Services
534,Halliburton Company,$32.73 B,"HAL
                                        

wb_incandescent",United States,Energy,Oil & Gas Equipment & Services
535,VERBUND AG,$32.66 B,"OEW
                                        

wb_incandescent",Austria,Utilities,Utilities—Renewable
536,Swiss Re AG,$32.63 B,"SREN
                                        

wb_incandescent",Switzerland,Financials,Insurance—Reinsurance
537,"Nasdaq, Inc.",$32.33 B,"NDAQ
                                        

wb_incandescent",United States,Financials,Financial Data & Stock Exchanges
538,Cenovus Energy Inc.,$32.28 B,"CVE
                                        

wb_incandescent",Canada,Energy,Oil & Gas Integrated
539,Imperial Oil Limited,$32.28 B,"IMO
                                        

wb_incandescent",Canada,Energy,Oil & Gas Integrated
540,"CaixaBank, SA",$32.22 B,"CABK
                                        

wb_incandescent",Spain,Financials,Banks—Regional
541,EQT AB,$32.21 B,"6EQ
                                        

wb_incandescent",Japan,Financials,Asset Management
542,"Consolidated Edison, Inc.",$32.19 B,"ED
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
543,PT. Chandra Asri Petrochemical Tbk,$32.18 B,"TPIA
                                        

wb_incandescent",Indonesia,Basic Materials,Specialty Chemicals
544,Hexagon AB,$32.17 B,"HXG
                                        

wb_incandescent",Sweden,Technology,Scientific & Technical Instruments
545,Rolls-Royce Holdings plc,$32.11 B,"RR.
                                        

wb_incandescent",United Kingdom,Industrials,Aerospace & Defense
546,Delta Electronics,$31.99 B,"DELTA
                                        

wb_incandescent",Thailand,Industrials,Electrical Equipment & Parts
547,Henkel AG & Co KGaA,$31.90 B,"HEN
                                        

wb_incandescent",Germany,Consumer Staples,Household & Personal Products
548,Banco do Brasil SA,$31.89 B,"BBAS3
                                        

wb_incandescent",Brazil,Financials,Banks—Regional
549,Swisscom AG,$31.73 B,"SCMN
                                        

wb_incandescent",Switzerland,Communication Services,Telecom Services
550,AP Moller - Maersk A-S,$31.64 B,"MAERSK.A
                                        

wb_incandescent",Denmark,Industrials,Marine Shipping
551,GlobalFoundries Inc.,$31.55 B,"GFS
                                        

wb_incandescent",United States,Technology,Semiconductors
552,Thales SA,$31.49 B,"HO
                                        

wb_incandescent",France,Industrials,Aerospace & Defense
553,Goodman Group,$31.46 B,"GMG
                                        

wb_incandescent",Australia,Real Estate,REIT—Diversified
554,WEG SA,$31.43 B,"WEGE3
                                        

wb_incandescent",Brazil,Industrials,Specialty Industrial Machinery
555,Naspers Ltd,$31.38 B,"NPN
                                        

wb_incandescent",South Africa,Communication Services,Internet Content & Information
556,LyondellBasell Industries N.V.,$31.32 B,"LYB
                                        

wb_incandescent",United States,Basic Materials,Specialty Chemicals
557,"TC PipeLines, LP",$31.26 B,"TCP
                                        

wb_incandescent",United States,Energy,Oil & Gas Midstream
558,Orange SA,$31.25 B,"ORA
                                        

wb_incandescent",France,Communication Services,Telecom Services
559,Flutter Entertainment plc,$31.25 B,"FLTR
                                        

wb_incandescent",Ireland,Consumer Discretionary,Gambling
560,"Zscaler, Inc.",$31.20 B,"ZS
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
561,"Amadeus IT Group, SA",$31.18 B,"AMS
                                        

wb_incandescent",Spain,Technology,Information Technology Services
562,Prudential plc,$31.10 B,"PRU
                                        

wb_incandescent",United Kingdom,Financials,Insurance—Life
563,Woolworths Group Limited,$31.08 B,"WOW
                                        

wb_incandescent",Australia,Consumer Staples,Grocery Stores
564,ASSA ABLOY AB,$30.89 B,"ALZ
                                        

wb_incandescent",Sweden,Industrials,Security & Protection Services
565,Public Service Enterprise Group Incorporated,$30.80 B,"PEG
                                        

wb_incandescent",United States,Utilities,Utilities—Diversified
566,Telstra Corporation Limited,$30.77 B,"TLS
                                        

wb_incandescent",Australia,Communication Services,Telecom Services
567,Barrick Gold Corporation,$30.75 B,"ABX
                                        

wb_incandescent",Canada,Basic Materials,Gold
568,Japan Post Holdings Co. Ltd,$30.74 B,"6178
                                        

wb_incandescent",Japan,Financials,Banks—Regional
569,Great-West Lifeco Inc.,$30.70 B,"GWO
                                        

wb_incandescent",Canada,Financials,Insurance—Life
570,"East Money Information Co.,Ltd.",$30.58 B,"300059
                                        

wb_incandescent",China,Communication Services,Internet Content & Information
571,Daimler Truck Holding AG,$30.56 B,"DTG
                                        

wb_incandescent",Germany,Industrials,Farm & Heavy Construction Machinery
572,Renesas Electronics Corp,$30.53 B,"6723
                                        

wb_incandescent",Japan,Technology,Semiconductors
573,Royal Caribbean Cruises Ltd.,$30.49 B,"RCL
                                        

wb_incandescent",United States,Consumer Discretionary,Travel Services
574,"Chunghwa Telecom Co., Ltd.",$30.47 B,"2412
                                        

wb_incandescent",Taiwan,Communication Services,Telecom Services
575,Loblaw Companies Limited,$30.45 B,"L
                                        

wb_incandescent",Canada,Consumer Staples,Grocery Stores
576,Lonza Group Ltd,$30.42 B,"LONN
                                        

wb_incandescent",Switzerland,Healthcare,Diagnostics & Research
577,Ingersoll Rand Inc.,$30.34 B,"IR
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
578,Mitsubishi Electric Corporation,$30.28 B,"6503
                                        

wb_incandescent",Japan,Industrials,Electrical Equipment & Parts
579,Vestas Wind Systems A-S,$30.27 B,"VWS
                                        

wb_incandescent",Denmark,Industrials,Specialty Industrial Machinery
580,Sun Life Financial Inc.,$30.22 B,"SLF
                                        

wb_incandescent",Canada,Financials,Insurance—Diversified
581,Coca-Cola Europacific Partners plc,$30.18 B,"CCEP
                                        

wb_incandescent",United Kingdom,Consumer Staples,Beverages—Non-Alcoholic
582,"Martin Marietta Materials, Inc.",$30.04 B,"MLM
                                        

wb_incandescent",United States,Basic Materials,Building Materials
583,Singapore Telecommunications Ltd,$30.01 B,"Z74
                                        

wb_incandescent",Singapore,Communication Services,Telecom Services
584,Devon Energy Corporation,$29.99 B,"DVN
                                        

wb_incandescent",United States,Energy,Oil & Gas E&P
585,Shaanxi Coal Industry Company Ltd,$29.98 B,"601225
                                        

wb_incandescent",China,Energy,Thermal Coal
586,Veeva Systems Inc.,$29.97 B,"VEEV
                                        

wb_incandescent",United States,Healthcare,Health Information Services
587,Sun Hung Kai Properties Ltd,$29.93 B,"0016
                                        

wb_incandescent",Hong Kong,Real Estate,Real Estate—Development
588,"ANSYS, Inc.",$29.90 B,"ANSS
                                        

wb_incandescent",United States,Technology,Software—Application
589,"Dollar Tree, Inc.",$29.79 B,"DLTR
                                        

wb_incandescent",United States,Consumer Staples,Discount Stores
590,Barclays plc,$29.77 B,"BARC
                                        

wb_incandescent",United Kingdom,Financials,Banks—Diversified
591,HP Inc.,$29.63 B,"HPQ
                                        

wb_incandescent",United States,Technology,Computer Hardware
592,Dollar General Corporation,$29.58 B,"DG
                                        

wb_incandescent",United States,Consumer Staples,Discount Stores
593,Ashtead Group plc,$29.57 B,"AHT
                                        

wb_incandescent",United Kingdom,Industrials,Rental & Leasing Services
594,Vulcan Materials Company,$29.32 B,"VMC
                                        

wb_incandescent",United States,Basic Materials,Building Materials
595,"Quanta Services, Inc.",$29.31 B,"PWR
                                        

wb_incandescent",United States,Industrials,Engineering & Construction
596,Hannover Rück SE,$29.30 B,"HNRB
                                        

wb_incandescent",Germany,Financials,Insurance—Reinsurance
597,PTT PCL,$29.28 B,"PTT
                                        

wb_incandescent",Thailand,Energy,Oil & Gas Integrated
598,Semiconductor Manufacturing International Corp,$29.20 B,"688981
                                        

wb_incandescent",China,Technology,Semiconductors
599,CDW Corporation,$29.10 B,"CDW
                                        

wb_incandescent",United States,Technology,Information Technology Services
600,China Pacific Insurance,$29.06 B,"601601
                                        

wb_incandescent",China,Financials,Insurance—Life
601,WuXi AppTec Co. Ltd,$29.02 B,"603259
                                        

wb_incandescent",China,Healthcare,Diagnostics & Research
602,Transurban Group,$28.97 B,"TCL
                                        

wb_incandescent",Australia,Industrials,Infrastructure Operations
603,Arch Capital Group Ltd.,$28.91 B,"ACGL
                                        

wb_incandescent",Bermuda,Financials,Insurance—Diversified
604,"Naturgy Energy Group, SA",$28.86 B,"NTGY
                                        

wb_incandescent",Spain,Utilities,Utilities—Regulated Gas
605,Equifax Inc.,$28.84 B,"EFX
                                        

wb_incandescent",United States,Industrials,Consulting Services
606,Wipro Limited,$28.84 B,"WIPRO
                                        

wb_incandescent",India,Technology,Information Technology Services
607,Skandinaviska Enskilda Banken AB,$28.81 B,"SEB.A
                                        

wb_incandescent",Sweden,Financials,Banks—Regional
608,Fair Isaac Corporation,$28.77 B,"FICO
                                        

wb_incandescent",United States,Technology,Software—Application
609,Bridgestone Corp,$28.70 B,"5108
                                        

wb_incandescent",Japan,Consumer Discretionary,Auto Parts
610,"Diamondback Energy, Inc.",$28.67 B,"FANG
                                        

wb_incandescent",United States,Energy,Oil & Gas E&P
611,Fujitsu Ltd,$28.61 B,"6702
                                        

wb_incandescent",Japan,Technology,Information Technology Services
612,Kuaishou Technology,$28.59 B,"1024
                                        

wb_incandescent",China,Communication Services,Broadcasting
613,Foshan Haitian Flavouring and Food Company Ltd,$28.51 B,"603288
                                        

wb_incandescent",China,Consumer Staples,Packaged Foods
614,Koninklijke Ahold Delhaize N.V.,$28.47 B,"AD
                                        

wb_incandescent",Netherlands,Consumer Staples,Grocery Stores
615,CITIC Ltd,$28.46 B,"0267
                                        

wb_incandescent",Hong Kong,Industrials,Conglomerates
616,3i Group plc,$28.41 B,"III
                                        

wb_incandescent",United Kingdom,Financials,Asset Management
617,Nutrien Ltd.,$28.32 B,"NTR
                                        

wb_incandescent",Canada,Basic Materials,Agricultural Inputs
618,Banco Santander (Brasil) SA,$28.14 B,"SANB11
                                        

wb_incandescent",Brazil,Financials,Banks—Regional
619,POSCO,$28.13 B,"005490
                                        

wb_incandescent",South Korea,Basic Materials,Steel
620,Grupo Financiero Banorte SAB de CV,$27.97 B,"GFNORTEO
                                        

wb_incandescent",Mexico,Financials,Banks—Regional
621,BOC Hong Kong Holdings Ltd,$27.96 B,"2388
                                        

wb_incandescent",Hong Kong,Financials,Banks—Regional
622,Chocoladefabriken Lindt & Sprüngli AG,$27.84 B,"LISN
                                        

wb_incandescent",Switzerland,Consumer Staples,Confectioners
623,Hennes & Mauritz AB,$27.81 B,"HM.B
                                        

wb_incandescent",Sweden,Consumer Discretionary,Apparel Manufacturing
624,FANUC Corp,$27.76 B,"6954
                                        

wb_incandescent",Japan,Industrials,Specialty Industrial Machinery
625,Shanghai Pudong Development Bank Co. Ltd,$27.75 B,"600000
                                        

wb_incandescent",China,Financials,Banks—Regional
626,Edison International,$27.73 B,"EIX
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
627,"Monolithic Power Systems, Inc.",$27.71 B,"MPWR
                                        

wb_incandescent",United States,Technology,Semiconductors
628,Deutsche Bank AG,$27.69 B,"DBK
                                        

wb_incandescent",Germany,Financials,Banks—Regional
629,Discover Financial Services,$27.69 B,"DFS
                                        

wb_incandescent",United States,Financials,Credit Services
630,Warner Bros. Discovery,$27.68 B,"WBD
                                        

wb_incandescent",United States,Communication Services,Entertainment
631,"Coupang, Inc.",$27.67 B,"CPNG
                                        

wb_incandescent",South Korea,Consumer Discretionary,Internet Retail
632,PICC Property and Casualty Company Ltd,$27.59 B,"2328
                                        

wb_incandescent",China,Financials,Insurance—Property & Casualty
633,"Ferrovial, SA",$27.52 B,"FER
                                        

wb_incandescent",Spain,Industrials,Infrastructure Operations
634,MMC Norilsk Nickel PJSC,$27.51 B,"GMKN
                                        

wb_incandescent",Russia,Basic Materials,Other Industrial Metals & Mining
635,"Quanta Computer, Inc.",$27.51 B,"2382
                                        

wb_incandescent",Taiwan,Technology,Computer Hardware
636,"Cellnex Telecom, SA",$27.47 B,"CLNX
                                        

wb_incandescent",Spain,Communication Services,Telecom Services
637,Sumitomo Corp,$27.40 B,"8053
                                        

wb_incandescent",Japan,Industrials,Conglomerates
638,KBC Group NV,$27.38 B,"KDB
                                        

wb_incandescent",Belgium,Financials,Banks—Regional
639,Intact Financial Corporation,$27.36 B,"IFC
                                        

wb_incandescent",Canada,Financials,Insurance—Property & Casualty
640,"WEC Energy Group, Inc.",$27.32 B,"WEC
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
641,Neste Oyj,$27.30 B,"NESTE
                                        

wb_incandescent",Finland,Energy,Oil & Gas Refining & Marketing
642,Haier Smart Home Co Ltd,$27.24 B,"600690
                                        

wb_incandescent",China,Consumer Discretionary,"Furnishings, Fixtures & Appliances"
643,Sandvik AB,$27.18 B,"SAND
                                        

wb_incandescent",Sweden,Industrials,Specialty Industrial Machinery
644,Marubeni Corp,$27.17 B,"8002
                                        

wb_incandescent",Japan,Industrials,Conglomerates
645,"CBRE Group, Inc.",$27.14 B,"CBRE
                                        

wb_incandescent",United States,Real Estate,Real Estate Services
646,Xylem Inc.,$27.08 B,"XYL
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
647,The People's Insurance Company (Group) of China Ltd,$27.06 B,"601319
                                        

wb_incandescent",China,Financials,Insurance—Property & Casualty
648,Tesco plc,$27.06 B,"TSCO
                                        

wb_incandescent",United Kingdom,Consumer Staples,Grocery Stores
649,"Take-Two Interactive Software, Inc.",$27.02 B,"TTWO
                                        

wb_incandescent",United States,Communication Services,Electronic Gaming & Multimedia
650,SBA Communications Corporation,$26.96 B,"SBAC
                                        

wb_incandescent",United States,Real Estate,REIT—Specialty
651,Fubon Financial Holding Co. Ltd,$26.93 B,"2881
                                        

wb_incandescent",Taiwan,Financials,Insurance—Life
652,Brown-Forman Corporation,$26.93 B,"BF.B
                                        

wb_incandescent",United States,Consumer Staples,Beverages—Wineries & Distilleries
653,"MongoDB, Inc.",$26.92 B,"MDB
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
654,Dr. Sulaiman Al Habib Medical Services Group Company,$26.92 B,"4013
                                        

wb_incandescent",Saudi Arabia,Healthcare,Medical Care Facilities
655,"HubSpot, Inc.",$26.84 B,"HUBS
                                        

wb_incandescent",United States,Technology,Software—Application
656,Legrand SA,$26.84 B,"LR
                                        

wb_incandescent",France,Industrials,Specialty Industrial Machinery
657,"Aena S.M.E., SA",$26.83 B,"A440
                                        

wb_incandescent",Spain,Industrials,Airports & Air Services
658,Kansas City Southern,"$26.59 B
                                            (Dec. 1, 2021)","KSU
                                        

wb_incandescent",United States,Industrials,Railroads
659,ANTA Sports Products Ltd,$26.43 B,"2020
                                        

wb_incandescent",China,Consumer Discretionary,Leisure
660,"Keysight Technologies, Inc.",$26.37 B,"KEYS
                                        

wb_incandescent",United States,Technology,Scientific & Technical Instruments
661,Agnico Eagle Mines Limited,$26.31 B,"AEM
                                        

wb_incandescent",Canada,Basic Materials,Gold
662,Klabin SA,$26.30 B,"KLBN11
                                        

wb_incandescent",Brazil,Basic Materials,Paper & Paper Products
663,TELUS Corporation,$26.28 B,"T
                                        

wb_incandescent",Canada,Communication Services,Telecom Services
664,Airports of Thailand Public Company Ltd,$26.27 B,"AOT
                                        

wb_incandescent",Thailand,Industrials,Airports & Air Services
665,Snap Inc.,$26.15 B,"SNAP
                                        

wb_incandescent",United States,Communication Services,Internet Content & Information
666,Roblox Corp,$26.14 B,"RBLX
                                        

wb_incandescent",United States,Communication Services,Electronic Gaming & Multimedia
667,"AvalonBay Communities, Inc.",$26.07 B,"AVB
                                        

wb_incandescent",United States,Real Estate,REIT—Residential
668,Z Holdings Corp,$26.06 B,"4689
                                        

wb_incandescent",Japan,Consumer Discretionary,Internet Retail
669,"Cardinal Health, Inc.",$26.02 B,"CAH
                                        

wb_incandescent",United States,Healthcare,Medical Distribution
670,Toyota Industries Corp,$26.01 B,"6201
                                        

wb_incandescent",Japan,Consumer Discretionary,Auto Manufacturers
671,"American Water Works Company, Inc.",$26.00 B,"AWK
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Water
672,Canon Inc.,$25.94 B,"7751
                                        

wb_incandescent",Japan,Technology,Computer Hardware
673,SSE plc,$25.85 B,"SSE
                                        

wb_incandescent",United Kingdom,Utilities,Utilities—Diversified
674,Corning Incorporated,$25.83 B,"GLW
                                        

wb_incandescent",United States,Technology,Electronic Components
675,"Delta Electronics, Inc.",$25.82 B,"2308
                                        

wb_incandescent",Taiwan,Technology,Electronic Components
676,Schindler Holding AG,$25.79 B,"SCHN
                                        

wb_incandescent",Switzerland,Industrials,Specialty Industrial Machinery
677,BioNTech SE,$25.76 B,"22UA
                                        

wb_incandescent",Germany,Healthcare,Biotechnology
678,Central Japan Railway Co,$25.70 B,"9022
                                        

wb_incandescent",Japan,Industrials,Railroads
679,"Cloudflare, Inc.",$25.65 B,"NET
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
680,Splunk Inc.,$25.65 B,"SPLK
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
681,Komatsu Ltd,$25.63 B,"6301
                                        

wb_incandescent",Japan,Industrials,Farm & Heavy Construction Machinery
682,National Bank of Canada,$25.61 B,"NA
                                        

wb_incandescent",Canada,Financials,Banks—Diversified
683,KONE Oyj,$25.57 B,"KNEBV
                                        

wb_incandescent",Finland,Industrials,Specialty Industrial Machinery
684,Vonovia SE,$25.55 B,"VNA
                                        

wb_incandescent",Germany,Real Estate,Real Estate Services
685,Advantest Corp,$25.52 B,"6857
                                        

wb_incandescent",Japan,Technology,Semiconductor Equipment & Materials
686,"Cheniere Energy Partners, L.P.",$25.50 B,"CQP
                                        

wb_incandescent",United States,Energy,Oil & Gas Midstream
687,Evolution Gaming Group AB,$25.43 B,"EVO
                                        

wb_incandescent",Sweden,Consumer Discretionary,Gambling
688,Open Orphan plc,$25.41 B,"ORPH
                                        

wb_incandescent",United Kingdom,Healthcare,Biotechnology
689,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,$25.29 B,"TLK
                                        

wb_incandescent",Indonesia,Communication Services,Telecom Services
690,ASM International NV,$25.27 B,"ASM
                                        

wb_incandescent",Netherlands,Technology,Semiconductor Equipment & Materials
691,NARI Technology Co. Ltd,$25.23 B,"600406
                                        

wb_incandescent",China,Industrials,Specialty Industrial Machinery
692,"Delta Air Lines, Inc.",$25.22 B,"DAL
                                        

wb_incandescent",United States,Industrials,Airlines
693,"Rocket Companies, Inc.",$25.18 B,"RKT
                                        

wb_incandescent",United States,Financials,Mortgage Finance
694,"Zimmer Biomet Holdings, Inc.",$25.18 B,"ZBH
                                        

wb_incandescent",United States,Healthcare,Medical Devices
695,Fortive Corporation,$25.13 B,"FTV
                                        

wb_incandescent",United States,Technology,Scientific & Technical Instruments
696,Ecopetrol SA,$25.12 B,"EC
                                        

wb_incandescent",Colombia,Energy,Oil & Gas Integrated
697,"West Pharmaceutical Services, Inc.",$25.08 B,"WST
                                        

wb_incandescent",United States,Healthcare,Medical Instruments & Supplies
698,China Resources Land Ltd,$24.98 B,"1109
                                        

wb_incandescent",Hong Kong,Real Estate,Real Estate—Development
699,Banco BTG Pactual SA,$24.97 B,"BPAC11
                                        

wb_incandescent",Brazil,Financials,Capital Markets
700,Terumo Corp,$24.93 B,"4543
                                        

wb_incandescent",Japan,Healthcare,Medical Instruments & Supplies
701,Mettler-Toledo International Inc.,$24.92 B,"MTD
                                        

wb_incandescent",United States,Healthcare,Diagnostics & Research
702,Rogers Communications Inc.,$24.87 B,"RCI.B
                                        

wb_incandescent",Canada,Communication Services,Telecom Services
703,Weyerhaeuser Company,$24.86 B,"WY
                                        

wb_incandescent",United States,Real Estate,REIT—Specialty
704,Compagnie Générale des Etablissements Michelin SCA,$24.86 B,"ML
                                        

wb_incandescent",France,Consumer Discretionary,Auto Parts
705,Willis Towers Watson plc,$24.85 B,"WTW
                                        

wb_incandescent",United Kingdom,Financials,Insurance Brokers
706,Trip.com Group Limited,$24.84 B,"TCOM
                                        

wb_incandescent",China,Consumer Discretionary,Travel Services
707,Yihai Kerry Arawana Holdings Co. Ltd,$24.84 B,"300999
                                        

wb_incandescent",China,Consumer Staples,Packaged Foods
708,"LYONDELLBASELL ADVANCED POLYMERS, Inc.",$24.78 B,"SLMNP
                                        

wb_incandescent",United States,Basic Materials,Chemicals
709,Formosa Petrochemical Corp,$24.77 B,"6505
                                        

wb_incandescent",Taiwan,Energy,Oil & Gas Refining & Marketing
710,NatWest Group plc,$24.73 B,"NWG
                                        

wb_incandescent",United Kingdom,Financials,Banks—Diversified
711,"The Hartford Financial Services Group, Inc.",$24.66 B,"HIG
                                        

wb_incandescent",United States,Financials,Insurance—Diversified
712,ResMed Inc.,$24.65 B,"RMD
                                        

wb_incandescent",United States,Healthcare,Medical Instruments & Supplies
713,Straumann Holding AG,$24.46 B,"STMN
                                        

wb_incandescent",Switzerland,Healthcare,Medical Instruments & Supplies
714,Mahindra & Mahindra Ltd,$24.39 B,"M&M
                                        

wb_incandescent",India,Consumer Discretionary,Auto Manufacturers
715,Sartorius Stedim Biotech SA,$24.38 B,"DIM
                                        

wb_incandescent",France,Healthcare,Medical Instruments & Supplies
716,FUJIFILM Holdings Corp,$24.27 B,"4901
                                        

wb_incandescent",Japan,Industrials,Business Equipment & Supplies
717,Vodafone Group plc,$24.27 B,"VOD
                                        

wb_incandescent",United Kingdom,Communication Services,Telecom Services
718,"Pinterest, Inc.",$24.18 B,"PINS
                                        

wb_incandescent",United States,Communication Services,Internet Content & Information
719,Sands China Ltd,$24.15 B,"1928
                                        

wb_incandescent",Macao,Consumer Discretionary,Resorts & Casinos
720,"Alnylam Pharmaceuticals, Inc.",$24.13 B,"ALNY
                                        

wb_incandescent",United States,Healthcare,Biotechnology
721,CGI Inc.,$24.08 B,"GIB.A
                                        

wb_incandescent",Canada,Technology,Information Technology Services
722,Heineken Holding N.V.,$24.04 B,"HEIO
                                        

wb_incandescent",Netherlands,Consumer Staples,Beverages—Brewers
723,Galaxy Entertainment Group Ltd,$24.00 B,"0027
                                        

wb_incandescent",Hong Kong,Consumer Discretionary,Resorts & Casinos
724,Danske Bank A-S,$23.93 B,"DANSKE
                                        

wb_incandescent",Denmark,Financials,Banks—Regional
725,Aptiv PLC,$23.90 B,"APTV
                                        

wb_incandescent",Ireland,Consumer Discretionary,Auto Parts
726,Mitsui Fudosan Co. Ltd,$23.89 B,"8801
                                        

wb_incandescent",Japan,Real Estate,Real Estate—Diversified
727,State Street Corporation,$23.88 B,"STT
                                        

wb_incandescent",United States,Financials,Asset Management
728,Budweiser Brewing Company APAC Ltd,$23.78 B,"1876
                                        

wb_incandescent",Hong Kong,Consumer Staples,Beverages—Brewers
